STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER,population,median_income,commuters_total,commuters_public_transport,households_total,households_no_vehicle,state,county,tract,state_abbr,EV Level2 EVSE Num,EV DC Fast Count,charger_count,dist_meters,dist_to_hwy_miles,pop_density,is_candidate
23,019,000200,1400000US23019000200,23019000200,2,Census Tract 2,ME,Penobscot County,Maine,CT,1731924,92429,3319,23851.0,1556,40,1966,0,23,019,000200,ME,10.0,0.0,10.0,1720.2033090405766,1.0688874377325965,1809.0820140796995,True
23,019,000600,1400000US23019000600,23019000600,6,Census Tract 6,ME,Penobscot County,Maine,CT,761432,0,1729,43281.0,826,52,959,0,23,019,000600,ME,0.0,0.0,0.0,1001.9456419129813,0.6225817054898165,2250.678584531143,True
23,019,031200,1400000US23019031200,23019031200,312,Census Tract 312,ME,Penobscot County,Maine,CT,209330458,33017,4010,59722.0,1804,0,1510,49,23,019,031200,ME,0.0,0.0,0.0,25293.551807584117,15.71672350627221,19.18917101957228,True
23,003,952000,1400000US23003952000,23003952000,9520,Census Tract 9520,ME,Aroostook County,Maine,CT,62123182,2251868,2628,41591.0,1075,0,1164,7,23,003,952000,ME,4.0,0.0,4.0,17701.104985593673,10.998984046623878,40.89689384935161,True
23,003,950900,1400000US23003950900,23003950900,9509,Census Tract 9509,ME,Aroostook County,Maine,CT,578670245,17525781,1981,48611.0,845,0,956,8,23,003,950900,ME,0.0,0.0,0.0,46023.722854353524,28.597886620821907,3.319247356440888,True
23,001,010100,1400000US23001010100,23001010100,101,Census Tract 101,ME,Androscoggin County,Maine,CT,814411,147593,1538,24977.0,525,17,957,0,23,001,010100,ME,4.0,0.0,4.0,279.5325050349219,0.17369387763612532,1619.7540221201218,True
23,007,970601,1400000US23007970601,23007970601,9706.01,Census Tract 9706.01,ME,Franklin County,Maine,CT,402346699,60710483,1560,61154.0,757,0,816,32,23,007,970601,ME,15.0,4.0,19.0,43822.468025462374,27.23008688373021,3.369172262447743,True
23,005,000500,1400000US23005000500,23005000500,5,Census Tract 5,ME,Cumberland County,Maine,CT,839831,696718,2160,70972.0,1326,29,1160,19,23,005,000500,ME,1.0,0.0,1.0,4.6543071090863055,0.0028920595455816083,1422.9980568871144,True
23,005,001300,1400000US23005001300,23005001300,13,Census Tract 13,ME,Cumberland County,Maine,CT,1272078,0,3616,70665.0,2013,44,1769,17,23,005,001300,ME,6.0,0.0,6.0,904.6191032125638,0.5621056477888848,2853.500961917457,True
23,031,030203,1400000US23031030203,23031030203,302.03,Census Tract 302.03,ME,York County,Maine,CT,14869191,342978,3558,94833.0,1848,65,1246,25,23,031,030203,ME,0.0,0.0,0.0,1449.9643195040912,0.900968297254832,233.48739533339716,True
